county,candidate,votes,district,party,office
Paulding,Paul Gillmor,4035,5.0,R,US Representative
Paulding,Roger Anderson,1888,5.0,D,US Representative
Paulding,John Green,292,5.0,,US Representative
Perry,Dave Hobson,4547,7.0,R,US Representative
Perry,Kara Anastasio,3366,7.0,D,US Representative
Perry,Frank Doden,591,7.0,,US Representative
Pickaway,Dave Hobson,8046,7.0,R,US Representative
Pickaway,Kara Anastasio,2880,7.0,D,US Representative
Pickaway,Frank Doden,587,7.0,,US Representative
Pike,Charles Sanders,4110,2.0,D,US Representative
Pike,Rob Portman,3441,2.0,R,US Representative
Pike,James Condit Jr.,0,2.0,WI,US Representative
Portage,Ann Womer Benjamin,14956,17.0,R,US Representative
Portage,Timothy Ryan,14379,17.0,D,US Representative
Portage,Steven LaTourette,6227,14.0,R,US Representative
Portage,James Traficant Jr.,3308,17.0,,US Representative
Portage,Dale Blanchard,2906,14.0,D,US Representative
Portage,Sid Stone,0,14.0,WI,US Representative
Preble,John Boehner,8191,8.0,R,US Representative
Preble,Jeff Hardenbrook,3291,8.0,D,US Representative
Putnam,Paul Gillmor,9402,5.0,R,US Representative
Putnam,Roger Anderson,2385,5.0,D,US Representative
Putnam,John Green,586,5.0,,US Representative
Richland,Michael Oxley,23721,4.0,R,US Representative
Richland,Jim Clark,13794,4.0,D,US Representative
Ross,Bob Ney,9044,18.0,R,US Representative
Ross,Dave Hobson,1621,7.0,R,US Representative
Ross,Kara Anastasio,621,7.0,D,US Representative
Ross,Frank Doden,100,7.0,,US Representative
Sandusky,Paul Gillmor,12500,5.0,R,US Representative
Sandusky,Roger Anderson,5460,5.0,D,US Representative
Sandusky,John Green,950,5.0,,US Representative
Scioto,Ted Strickland,7106,6.0,D,US Representative
Scioto,Rob Portman,6299,2.0,R,US Representative
Scioto,Charles Sanders,5980,2.0,D,US Representative
Scioto,Mike Halleck,2544,6.0,R,US Representative
Scioto,James Condit Jr.,0,2.0,WI,US Representative
Seneca,Paul Gillmor,11415,5.0,R,US Representative
Seneca,Roger Anderson,4586,5.0,D,US Representative
Seneca,John Green,837,5.0,,US Representative
Shelby,Michael Oxley,10497,4.0,R,US Representative
Shelby,Jim Clark,4119,4.0,D,US Representative
Stark,Ralph Regula,77801,16.0,R,US Representative
Stark,Jim Rice,37718,16.0,D,US Representative
Summit,Sherrod Brown,54372,13.0,D,US Representative
Summit,Ed Oliveros,23839,13.0,R,US Representative
Summit,Steven LaTourette,22138,14.0,R,US Representative
Summit,Timothy Ryan,18593,17.0,D,US Representative
Summit,Ann Womer Benjamin,13137,17.0,R,US Representative
Summit,Dale Blanchard,12157,14.0,D,US Representative
Summit,James Traficant Jr.,3040,17.0,,US Representative
Summit,Sid Stone,5,14.0,WI,US Representative
Trumbull,Timothy Ryan,37234,17.0,D,US Representative
Trumbull,Ann Womer Benjamin,21038,17.0,R,US Representative
Trumbull,James Traficant Jr.,11859,17.0,,US Representative
Trumbull,Steven LaTourette,1958,14.0,R,US Representative
Trumbull,Dale Blanchard,1310,14.0,D,US Representative
Trumbull,Sid Stone,1,14.0,WI,US Representative
Tuscarawas,Bob Ney,19798,18.0,R,US Representative
Union,Deborah Pryce,9103,15.0,R,US Representative
Union,Mark Brown,2929,15.0,D,US Representative
Van Wert,Paul Gillmor,6696,5.0,R,US Representative
Van Wert,Roger Anderson,1906,5.0,D,US Representative
Van Wert,John Green,517,5.0,,US Representative
Vinton,Bob Ney,2162,18.0,R,US Representative
Warren,Michael Turner,19253,3.0,R,US Representative
Warren,Rob Portman,18794,2.0,R,US Representative
Warren,Rick Carne,6703,3.0,D,US Representative
Warren,Charles Sanders,4270,2.0,D,US Representative
Warren,Ronald Williamitis,2,3.0,WI,US Representative
Warren,James Condit Jr.,0,2.0,WI,US Representative
Washington,Ted Strickland,11092,6.0,D,US Representative
Washington,Mike Halleck,7651,6.0,R,US Representative
Wayne,Ralph Regula,23067,16.0,R,US Representative
Wayne,Jim Rice,7445,16.0,D,US Representative
Williams,Paul Gillmor,7906,5.0,R,US Representative
Williams,Roger Anderson,2637,5.0,D,US Representative
Williams,John Green,647,5.0,,US Representative
Wood,Paul Gillmor,22703,5.0,R,US Representative
Wood,Roger Anderson,12795,5.0,D,US Representative
Wood,John Green,1921,5.0,,US Representative
Wyandot,Michael Oxley,2309,4.0,R,US Representative
Wyandot,Paul Gillmor,2077,5.0,R,US Representative
Wyandot,Jim Clark,1090,4.0,D,US Representative
Wyandot,Roger Anderson,697,5.0,D,US Representative
Wyandot,John Green,184,5.0,,US Representative
